I,Q
0.725951,0.236009
-0.347241,1.04928
-1.09862,-0.0676647
-0.00959966,0.904355
-0.0748279,0.708327
0.038677,-1.28815
0.864795,0.0396231
-1.11371,-0.176029
0.0919203,-1.04217
0.890013,-0.0653751
-0.287549,-0.924523
-0.202598,1.03193
-0.998688,-0.125105
0.936599,-0.193137
-0.208041,-1.06439
-1.0867,-0.0394147
0.0135983,-0.893448
0.14734,-0.705526
0.100642,1.2473
1.04222,0.167931
-0.197304,1.04121
-0.0437502,0.800937
-0.0780603,-1.05
-0.158635,1.01412
-0.106502,0.776377
-0.0286637,-1.19377
-1.02191,0.0769095
0.131757,0.969284
1.07756,-0.25717
0.87857,-0.266837
-0.284637,-1.13307
-1.13129,-0.00730774
-0.89458,-0.102306
-0.762477,-0.175511
0.290076,-0.979134
0.193759,0.961195
1.18844,-0.177106
0.962562,-0.167115
-0.0956044,-1.18225
-0.0292276,-0.908493
1.06347,0.147648
-0.00437354,-0.94894
-0.891269,0.0791396
1.24488,0.0862088
0.993858,0.0416956
0.978878,0.119323
0.851404,-0.0185975
0.660158,-0.116783
-0.16517,-0.898094
