I,Q
-0.663423,0.666953
-0.827539,0.573266
-0.85055,0.769569
-0.710057,0.691273
-0.782702,0.805649
-0.706503,0.662663
-0.686048,0.771831
0.748876,0.727771
-0.647118,0.620447
-0.608166,-0.653327
0.812971,-0.708689
0.634995,0.610524
0.65472,-0.815855
0.580005,0.712434
0.632296,0.686068
-0.738704,0.627398
0.825209,-0.775325
0.610435,-0.7251
0.734341,0.701269
-0.705299,0.734868
-0.639785,0.702741
0.793442,-0.635292
-0.745484,0.737527
0.72334,-0.801033
0.652285,-0.713945
0.739818,-0.710108
0.669411,0.691751
-0.637463,-0.720955
-0.806754,0.734321
-0.825497,-0.675287
0.815841,-0.756413
-0.672693,0.713765
0.61203,0.715539
0.643022,0.613597
-0.696281,0.721902
-0.695058,0.714316
0.680105,0.752347
-0.648787,-0.765411
-0.612108,0.723169
-0.718848,0.695021
0.69518,-0.663482
-0.779059,-0.676048
-0.689114,-0.717513
0.727338,0.638905
-0.600948,-0.678373
-0.649789,0.695561
0.653476,0.650398
0.786222,-0.688259
-0.693755,-0.787638
-0.695412,-0.766012
-0.770222,-0.701226
-0.689443,0.685031
-0.683316,-0.732423
-0.73606,0.726483
-0.651957,-0.731953
-0.711165,0.717677
0.681816,0.7773
-0.697181,0.584179
0.668778,-0.703732
-0.61035,-0.780506
0.669606,0.703914
-0.674952,-0.800882
-0.674552,-0.657223
0.675677,-0.567455
-0.691322,-0.786919
0.682816,-0.594888
-0.733696,-0.738297
-0.739588,-0.775335
0.743484,-0.670104
-0.832059,-0.634044
-0.683324,-0.713702
-0.766492,-0.625662
0.74304,-0.705722
-0.675345,0.778528
-0.725335,0.831892
-0.57828,0.637228
0.708631,0.622532
-0.683926,0.649168
-0.70829,0.836468
0.656897,0.75862
-0.632296,0.649565
0.615104,-0.659462
-0.77963,-0.782511
0.633602,-0.777623
-0.737103,-0.786969
-0.652081,0.746365
0.639703,0.731569
0.727262,0.682572
0.729924,-0.685864
0.804257,0.73551
0.682866,-0.677958
0.72678,-0.625692
-0.763418,-0.772631
-0.737467,-0.699952
0.735268,-0.60484
-0.629159,0.718505
0.715076,0.820245
0.7479,0.704306
0.71123,0.77215
-0.742423,0.611302
0.690011,-0.667195
-0.66976,-0.737402
-0.662583,0.700152
-0.604671,-0.631977
0.593637,0.70769
0.686499,-0.702197
0.707088,0.835007
-0.753124,0.714403
0.72001,0.73775
-0.692648,-0.653046
-0.712426,-0.814817
0.809119,-0.721211
-0.70509,0.760346
-0.74659,-0.629363
-0.601514,-0.730918
-0.701349,0.746876
-0.653063,0.713439
0.655834,-0.698937
-0.631016,-0.704214
-0.650681,-0.633729
-0.686038,-0.743078
0.590146,0.657466
0.591807,-0.751933
-0.738647,0.750156
-0.690419,-0.722255
0.68762,0.775284
-0.753736,-0.639925
-0.761411,-0.730882
-0.666612,0.718711
0.637228,0.876658
-0.625628,0.813359
0.773277,-0.694685
0.632425,0.690052
0.773005,-0.679115
-0.647957,-0.647476
-0.701549,0.699126
-0.6458,-0.634177
-0.820858,0.683231
-0.770746,0.720764
0.675901,-0.778119
0.651557,0.731565
-0.570172,0.719078
-0.718162,0.715499
0.623531,0.667546
-0.669052,-0.648585
0.690197,-0.663202
-0.675262,0.731901
0.827079,0.601059
-0.734015,-0.738406
0.778606,-0.787397
0.711439,0.720934
0.702967,0.763419
0.788177,-0.73018
0.710106,-0.673921
0.617272,0.806501
0.587711,-0.680924
0.707399,-0.740047
-0.732807,-0.618904
0.553709,-0.730926
-0.714497,0.748442
0.672356,0.760786
0.676785,-0.707554
0.68358,-0.581744
-0.597658,-0.782818
-0.732042,0.763147
-0.746813,0.783305
-0.673672,0.724215
-0.679905,-0.732593
-0.693671,-0.599625
-0.810161,-0.645878
-0.716156,0.76539
0.785261,-0.620677
-0.78972,-0.81691
-0.717099,0.650771
-0.756363,0.739707
-0.674431,-0.698358
-0.6714,-0.653459
-0.625031,-0.678191
-0.780597,0.766659
-0.710424,0.712256
0.735209,-0.714798
0.638092,-0.707628
-0.752028,0.710595
-0.728244,-0.64524
0.738331,-0.752966
-0.68963,-0.79062
0.714336,0.923275
-0.702007,0.7716
0.682065,0.720013
-0.75141,0.709705
0.745323,-0.635094
0.72965,0.689713
-0.720436,0.735359
-0.647382,-0.687828
-0.642287,-0.771802
-0.662955,-0.677348
0.679984,0.752608
-0.615431,-0.66906
0.717051,-0.604497
0.675966,0.773076
-0.722998,-0.587712
-0.746391,0.645514
-0.608674,-0.735123
-0.722043,0.793021
-0.693605,-0.724399
0.757613,-0.610383
-0.764384,-0.778666
-0.665687,0.702169
0.711088,-0.769077
-0.693753,0.770877
0.708573,-0.631392
-0.668268,-0.741445
-0.762138,0.68507
-0.670431,-0.679963
-0.65581,0.79113
-0.699938,-0.744155
0.729872,-0.721539
-0.73954,0.668246
0.745203,0.819679
-0.675779,0.739209
-0.636166,-0.821221
0.728758,-0.701386
-0.684063,0.73527
-0.742683,-0.592361
0.785944,-0.692293
-0.711289,-0.694494
0.75321,0.671035
0.617903,-0.691062
0.673924,0.670475
0.746062,-0.648719
-0.685,0.663394
-0.717992,0.755596
0.678198,0.706403
-0.656022,-0.778543
-0.716793,0.625679
0.731838,0.702292
0.682496,-0.723697
0.786265,0.742162
-0.733674,0.674334
-0.726207,-0.794708
-0.715062,-0.669242
-0.746142,-0.640362
0.718601,-0.768576
-0.700201,0.731107
-0.839533,-0.712511
-0.626079,-0.757277
0.755703,-0.715097
0.68466,0.706922
0.686181,-0.676057
0.742019,-0.6693
-0.76798,0.754541
-0.64168,-0.771509
0.705598,0.719243
-0.69405,0.694454
-0.738243,-0.621368
-0.630527,0.815074
0.729426,-0.646394
0.728719,0.719179
-0.707831,-0.602695
-0.698346,0.768349
0.717025,0.798856
-0.593696,0.751544
-0.743566,0.656818
0.703854,-0.740073
-0.722189,-0.802497
0.739969,-0.663949
0.65411,-0.710433
-0.694424,0.729498
0.751809,-0.616461
0.745896,-0.666227
-0.76733,0.719364
0.773947,0.734294
0.799771,-0.71436
-0.737369,-0.671909
-0.792669,-0.68402
-0.728629,0.765329
0.691888,0.710177
0.633746,0.694703
0.631014,0.739316
-0.744806,0.710091
0.692755,-0.639984
-0.748121,-0.698804
-0.705424,-0.715154
